Namespace(anneal_updates=1000, batch_size=500, data_size=500, device='mps', draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=False, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
Model(
  (linear): LinearGaussian(in_features=1, out_features=128)
  (relu1): ReluGaussian(in_features=128, out_features=128)
  (out): ReluGaussian(in_features=128, out_features=2)
)
  epoch        ELBO       ll         kl    lmbda
   7980  1.215e+00  1.2149  1.117e+02   0.0000
   8000  1.215e+00  1.2150  1.117e+02   0.0000
   8020  1.215e+00  1.2150  1.117e+02   0.0000
   8040  1.215e+00  1.2151  1.117e+02   0.0000
   8060  1.215e+00  1.2152  1.117e+02   0.0000
   8080  1.215e+00  1.2152  1.117e+02   0.0000
   8100  1.215e+00  1.2153  1.118e+02   0.0000
   8120  1.215e+00  1.2153  1.118e+02   0.0000
   8140  1.215e+00  1.2154  1.118e+02   0.0000
   8160  1.215e+00  1.2155  1.118e+02   0.0000
   8180  1.216e+00  1.2155  1.118e+02   0.0000
   8200  1.216e+00  1.2156  1.119e+02   0.0000
   8220  1.216e+00  1.2157  1.119e+02   0.0000
   8240  1.216e+00  1.2157  1.119e+02   0.0000
   8260  1.216e+00  1.2158  1.119e+02   0.0000
   8280  1.216e+00  1.2158  1.119e+02   0.0000
   8300  1.216e+00  1.2159  1.119e+02   0.0000
   8320  1.216e+00  1.2160  1.120e+02   0.0000
   8340  1.216e+00  1.2160  1.120e+02   0.0000
   8360  1.216e+00  1.2161  1.120e+02   0.0000
   8380  1.216e+00  1.2161  1.120e+02   0.0000
   8400  1.216e+00  1.2162  1.120e+02   0.0000
   8420  1.216e+00  1.2162  1.121e+02   0.0000
   8440  1.216e+00  1.2163  1.121e+02   0.0000
   8460  1.216e+00  1.2164  1.121e+02   0.0000
   8480  1.216e+00  1.2164  1.121e+02   0.0000
   8500  1.216e+00  1.2165  1.121e+02   0.0000
   8520  1.217e+00  1.2165  1.121e+02   0.0000
   8540  1.217e+00  1.2166  1.122e+02   0.0000
   8560  1.217e+00  1.2166  1.122e+02   0.0000
   8580  1.217e+00  1.2167  1.122e+02   0.0000
   8600  1.217e+00  1.2167  1.122e+02   0.0000
   8620  1.217e+00  1.2167  1.122e+02   0.0000
   8640  1.217e+00  1.2168  1.123e+02   0.0000
   8660  1.217e+00  1.2168  1.123e+02   0.0000
   8680  1.217e+00  1.2169  1.123e+02   0.0000
   8700  1.217e+00  1.2169  1.123e+02   0.0000
   8720  1.217e+00  1.2170  1.123e+02   0.0000
   8740  1.217e+00  1.2171  1.123e+02   0.0000
   8760  1.217e+00  1.2171  1.124e+02   0.0000
   8780  1.217e+00  1.2172  1.124e+02   0.0000
   8800  1.217e+00  1.2172  1.124e+02   0.0000
   8820  1.217e+00  1.2173  1.124e+02   0.0000
   8840  1.217e+00  1.2173  1.124e+02   0.0000
   8860  1.217e+00  1.2174  1.125e+02   0.0000
   8880  1.217e+00  1.2174  1.125e+02   0.0000
   8900  1.218e+00  1.2175  1.125e+02   0.0000
   8920  1.218e+00  1.2175  1.125e+02   0.0000
   8940  1.218e+00  1.2176  1.125e+02   0.0000
   8960  1.218e+00  1.2177  1.126e+02   0.0000
   8980  1.218e+00  1.2177  1.126e+02   0.0000
   9000  1.218e+00  1.2178  1.126e+02   0.0000
   9020  1.298e+00  1.2984  1.126e+02   0.0000
   9040  1.296e+00  1.2960  1.126e+02   0.0000
