t,ELBO,ll,kl,lmbda
4320,1.0846149921417236,1.0846149921417236,108.54513549804688,0.0
4340,1.084713339805603,1.084713339805603,108.56561279296875,0.0
4360,1.084806203842163,1.084806203842163,108.5860824584961,0.0
4380,1.0848956108093262,1.0848956108093262,108.60655212402344,0.0
4400,1.0849848985671997,1.0849848985671997,108.62702178955078,0.0
4420,1.0850754976272583,1.0850754976272583,108.64746856689453,0.0
4440,1.0851622819900513,1.0851622819900513,108.66790771484375,0.0
4460,1.0852471590042114,1.0852471590042114,108.68833923339844,0.0
4480,1.0853347778320312,1.0853347778320312,108.7087631225586,0.0
4500,1.0854268074035645,1.0854268074035645,108.72916412353516,0.0
4520,1.0855207443237305,1.0855207443237305,108.74956512451172,0.0
4540,1.0856138467788696,1.0856138467788696,108.77000427246094,0.0
4560,1.085706114768982,1.085706114768982,108.79046630859375,0.0
4580,1.0857954025268555,1.0857954025268555,108.8109359741211,0.0
4600,1.0858927965164185,1.0858927965164185,108.83142852783203,0.0
4620,1.0859959125518799,1.0859959125518799,108.8519287109375,0.0
4640,1.086099624633789,1.086099624633789,108.87245178222656,0.0
4660,1.0862078666687012,1.0862078666687012,108.89295959472656,0.0
4680,1.0862988233566284,1.0862988233566284,108.91348266601562,0.0
4700,1.0863845348358154,1.0863845348358154,108.93399810791016,0.0
4720,1.0864613056182861,1.0864613056182861,108.95452117919922,0.0
4740,1.0865333080291748,1.0865333080291748,108.97503662109375,0.0
4760,1.0865980386734009,1.0865980386734009,108.99557495117188,0.0
4780,1.086659550666809,1.086659550666809,109.01609802246094,0.0
4800,1.0867253541946411,1.0867253541946411,109.03662872314453,0.0
4820,1.0867986679077148,1.0867986679077148,109.05718994140625,0.0
4840,1.086875557899475,1.086875557899475,109.07776641845703,0.0
4860,1.0869548320770264,1.0869548320770264,109.09834289550781,0.0
4880,1.0870376825332642,1.0870376825332642,109.11893463134766,0.0
4900,1.0871238708496094,1.0871238708496094,109.13953399658203,0.0
4920,1.0872098207473755,1.0872098207473755,109.16015625,0.0
4940,1.0872892141342163,1.0872892141342163,109.18080139160156,0.0
4960,1.0873591899871826,1.0873591899871826,109.20145416259766,0.0
4980,1.0874254703521729,1.0874254703521729,109.22207641601562,0.0
5000,1.087494134902954,1.087494134902954,109.24272155761719,0.0
5020,1.1863539218902588,1.1863539218902588,109.25712585449219,0.0
5040,1.1987870931625366,1.1987870931625366,109.26740264892578,0.0
5060,1.1977564096450806,1.1977564096450806,109.28099822998047,0.0
5080,1.2019091844558716,1.2019091844558716,109.29630279541016,0.0
5100,1.2042893171310425,1.2042893171310425,109.31214904785156,0.0
5120,1.2046728134155273,1.2046728134155273,109.32817077636719,0.0
5140,1.2046736478805542,1.2046736478805542,109.34426879882812,0.0
5160,1.2044590711593628,1.2044590711593628,109.36017608642578,0.0
5180,1.2043565511703491,1.2043565511703491,109.37577056884766,0.0
5200,1.2043284177780151,1.2043284177780151,109.39115142822266,0.0
